CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
C5580,Anisodamine,55869-99-3,F01,L1021-21,305.37,H2O,C17H23NO4,OCC(C(OC1CC(N2C)CC(O)C2C1)=O)C3=CC=CC=C3,≥13.32 mg/mL in EtOH; ≥13.65 mg/mL in H2O; ≥51.3 mg/mL in DMSO,,GPCR/G protein,Adrenergic Receptor,weak antagonist of _1-adrenoceptors,https://www.apexbt.com/search.php?catalog=C5580
C5593,Cefsulodin (sodium salt),52152-93-9,F02,L1021-21,554.5,DMSO,C22H19N4O8S2·Na,O=C(N[[C@@H]1C(N2[[C@H]1([H])SCC(C[N+]3=CC=C(C(N)=O)C=C3)=C2C([O-])=O)=O)[[C@H](S([O-])(=O)=O)C4=CC=CC=C4.[Na+],≥22.75 mg/mL in DMSO with gentle warming; insoluble in EtOH; ≥49.3 mg/mL in H2O,,Microbiology & Virology,Antibiotic,_-lactam antibiotic,https://www.apexbt.com/search.php?catalog=C5593
C5616,Phytol,150-86-7,F03,L1021-21,296.5,DMSO,C20H40O,CC(CCC[[C@@H](C)CCC[[C@@H](C)CCC/C(C)=C/CO)C,insoluble in H2O; ≥46.1 mg/mL in EtOH; ≥57.4 mg/mL in DMSO,,Others,RAR/RXR,activator of retinoid X receptors (RXRs),https://www.apexbt.com/search.php?catalog=C5616
C5621,Spectinomycin (hydrochloride hydrate),22189-32-8,F04,L1021-21,495.4,DMSO,C14H24N2O7·2HCl [5H2O],[H][[C@H@]12[[C@H@](C(C[[C@@H](C)O2)=O)(O)O[[C@H]3([H])[[C@@H](NC)[[C@@H](O)[[C@@H](NC)[[C@H](O)[[C@H@]3([H])O1.Cl.Cl.O.O.O.O.O,≥49.5 mg/mL in H2O; ≥3.61 mg/mL in EtOH with gentle warming and ultrasonic; ≥92 mg/mL in DMSO,,Microbiology & Virology,Antibiotic,aminocyclitol antibiotic,https://www.apexbt.com/search.php?catalog=C5621
C5652,Folinic Acid (calcium salt),1492-18-8,F05,L1021-21,511.5,H2O,C20H21CaN7O7,[Ca++].NC1=NC(=C2N(C=O)C(CNC3=CC=C(C=C3)C(=O)NC(CCC([O-])=O)C([O-])=O)CNC2=N1)O,Insoluble in DMSO; insoluble in EtOH; ≥7.94 mg/mL in H2O with ultrasonic,calcium salt,Others,Others,Biofolic acid,https://www.apexbt.com/search.php?catalog=C5652
C5675,Fendiline (hydrochloride),13636-18-5,F06,L1021-21,351.9,DMSO,C23H25N·HCl,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3.Cl,insoluble in H2O; ≥16.6 mg/mL in DMSO; ≥2.34 mg/mL in EtOH with ultrasonic,,GPCR/G protein,Adrenergic Receptor,,https://www.apexbt.com/search.php?catalog=C5675
C5679,N-acetyl-D-Glucosamine,7512-17-6,F07,L1021-21,221.21,DMSO,C8H15NO6,O=CC(C(C([C@@H](CO)O)O)O)NC(C)=O,insoluble in EtOH; insoluble in DMSO; ≥90.8 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C5679
C5734,Trimipramine (maleate),521-78-8,F08,L1021-21,410.5,DMSO,C20H26N2·C4H4O4,CN(C)CC(C)CN1C2=C(C=CC=C2)CCC3=C1C=CC=C3.OC(/C=C\C(O)=O)=O,insoluble in H2O; ≥13.02 mg/mL in EtOH; ≥18.5 mg/mL in DMSO,,Neuroscience,Histamine Receptor,potent antagonist of histamine H1 receptor,https://www.apexbt.com/search.php?catalog=C5734
C5755,(S)-Naproxen,22204-53-1,F09,L1021-21,230.3,DMSO,C14H14O3,C[[C@H](C(O)=O)C1=CC=C2C=C(OC)C=CC2=C1,insoluble in H2O; ≥22.87 mg/mL in EtOH; ≥9.7 mg/mL in DMSO,,Neuroscience,COX,non-selective COX inhibitor,https://www.apexbt.com/search.php?catalog=C5755
C5802,Carazolol,57775-29-8,F10,L1021-21,298.4,DMSO,C18H22N2O2,OC(CNC(C)C)COC1=C(C(C=CC=C2)=C2N3)C3=CC=C1,insoluble in H2O; ≥14.8 mg/mL in DMSO; ≥3.9 mg/mL in EtOH,#N/A,GPCR/G protein,Adrenergic Receptor,"high-affinity, lipophilic, non-selective ligand of the _-adrenergic receptors",https://www.apexbt.com/search.php?catalog=C5802
C5847,Lutein,127-40-2,F11,L1021-21,568.87,DMSO,C40H56O2,O[C@@H]1CC(C)([C@H](C(C)=C1)/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C[C@H](CC2(C)C)O)C)C,insoluble in H2O; insoluble in EtOH; ≥5.28 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C5847
C6100,Glycine,56-40-6,G01,L1021-21,75.07,H2O,C2H5NO2,NCC(O)=O,insoluble in EtOH; insoluble in DMSO; ≥54.6 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6100
C6101,L-Proline,147-85-3,G02,L1021-21,115.13,H2O,C5H9NO2,OC([C@@H]1CCCN1)=O,insoluble in DMSO; ≥11.27 mg/mL in EtOH with ultrasonic; ≥35.5 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6101
C6103,L-Valine,72-18-4,G03,L1021-21,117.15,H2O,C5H11NO2,OC([C@@H](N)C(C)C)=O,insoluble in DMSO; insoluble in EtOH; ≥24.05 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6103
C6104,L-Leucine,61-90-5,G04,L1021-21,131.17,H2O,C6H13NO2,CC(C)C[C@H](N)C(O)=O,insoluble in EtOH; insoluble in DMSO; ≥17.43 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6104
C6105,L-Tryptophan,73-22-3,G05,L1021-21,204.23,DMSO,C11H12N2O2,OC([C@@H](N)CC1=CNC2=C1C=CC=C2)=O,insoluble in EtOH; ≥6.46 mg/mL in H2O; ≥7 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6105
C6108,L-Alanine,56-41-7,G06,L1021-21,89.09,H2O,C3H7NO2,OC([C@@H](N)C)=O,insoluble in EtOH; insoluble in DMSO; ≥18.55 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6108
C6112,L-Hydroxyproline,51-35-4,G07,L1021-21,131.13,H2O,C5H9NO3,O[C@@H]1CN[C@H](C(O)=O)C1,insoluble in EtOH; insoluble in DMSO; ≥30.1 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6112
C6113,L-Methionine,63-68-3,G08,L1021-21,149.21,H2O,C5H11NO2S,CSCC[C@H](N)C(O)=O,insoluble in EtOH; insoluble in DMSO; ≥8.02 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6113
C6114,beta-Alanine,107-95-9,G09,L1021-21,89.09,H2O,C3H7NO2,NCCC(O)=O,insoluble in EtOH; insoluble in DMSO; ≥39.9 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6114
C6115,Sodium benzoate,532-32-1,G10,L1021-21,144.1,H2O,C7H5NaO2,[O-]C(C1=CC=CC=C1)=O.[Na+],insoluble in DMSO; insoluble in EtOH; ≥40.9 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6115
C6116,Benzophenone,119-61-9,G11,L1021-21,182.22,EtOH,C13H10O,O=C(C1=CC=CC=C1)C2=CC=CC=C2,insoluble in H2O; ≥14.6 mg/mL in EtOH; ≥47 mg/mL in DMSO,Free Base,,,,https://www.apexbt.com/search.php?catalog=C6116
C6118,Benzyl alcohol,100-51-6,H01,L1021-21,108.14,DMSO,C7H8O,OCC1=CC=CC=C1,≥12.2 mg/mL in EtOH; ≥17.87 mg/mL in H2O; ≥44.6 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6118
C6119,D-Alanine,338-69-2,H02,L1021-21,89.09,H2O,C3H7NO2,CC(N)C(O)=O,insoluble in DMSO; insoluble in EtOH; ≥16.75 mg/mL in H2O,free base,,,,https://www.apexbt.com/search.php?catalog=C6119
C6122,L(+)-Ornithine hydrochloride,3184-13-2,H03,L1021-21,168.62,H2O,C5H13ClN2O2,Cl.NCCCC(N)C(O)=O,insoluble in EtOH; insoluble in DMSO; ≥98.4 mg/mL in H2O,free base,Metabolism,Endogenous Metabolite,L-Ornithine hydrochloride is a free amino acid that plays a central role in the urea cycle and is also important for the disposal of excess nitrogen.,https://www.apexbt.com/search.php?catalog=C6122
C6124,Methylparaben,99-76-3,H04,L1021-21,152.15,DMSO,C8H8O3,OC1=CC=C(C(OC)=O)C=C1,insoluble in H2O; ≥103.6 mg/mL in DMSO; ≥104.6 mg/mL in EtOH,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6124
C6127,L-Threonine,72-19-5,H05,L1021-21,119.12,H2O,C4H9NO3,OC([C@@H](N)[C@H](O)C)=O,insoluble in DMSO; insoluble in EtOH; ≥39.67 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6127
C6129,Hydroquinone,123-31-9,H06,L1021-21,110.11,DMSO,C6H6O2,OC1=CC=C(O)C=C1,22mg/mL(199.8 mM) in DMSO;22mg/mL(199.8 mM) in H2O;22mg/mL(199.8 mM) in Ethanol,,Immunology/Inflammation,ROS,,https://www.apexbt.com/search.php?catalog=C6129
C6131,L-Pyroglutamic acid,98-79-3,H07,L1021-21,129.11,DMSO,C5H7NO3,OC(=O)[C@@H]1CCC(=O)N1,≥105.8 mg/mL in DMSO; ≥121.4 mg/mL in H2O; ≥8.09 mg/mL in EtOH,,Others,Others,L-pyroglutamic acid is a natural nutrient and amino acid derived from glutamic acid. It is a metabolite in the glutathione cycle that is converted to glutamate by 5-oxoprolinase.,https://www.apexbt.com/search.php?catalog=C6131
C6132,D-Tartaric acid,147-71-7,H08,L1021-21,150.09,H2O,C4H6O6,OC(C(O)C(O)=O)C(O)=O,≥11.67 mg/mL in DMSO; ≥14.43 mg/mL in EtOH; ≥22.85 mg/mL in H2O,Free Base,Others,Others,"Tartaric acid is a white crystalline organic acid that occurs naturally in many plants, most notably in grapes. It has several applications for industrial and pharmaceutical use.",https://www.apexbt.com/search.php?catalog=C6132
C6133,4-Aminophenol,123-30-8,H09,L1021-21,109.13,DMSO,C6H7NO,OC1=CC=C(N)C=C1,21mg/mL(192.43 mM) in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6133
C6134,L-Lysine hydrochloride,657-27-2,H10,L1021-21,182.65,H2O,C6H15ClN2O2,OC([C@@H](N)CCCCN)=O.Cl,insoluble in EtOH; insoluble in DMSO; ≥37 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6134
C6135,Isonicotinic acid,55-22-1,H11,L1021-21,123.11,DMSO,C6H5NO2,OC(C1=CC=NC=C1)=O,insoluble in EtOH; insoluble in H2O; ≥9.55 mg/mL in DMSO with ultrasonic,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6135
C6136,Resorcinol,108-46-3,A01,L1021-22,110.11,DMSO,C6H6O2,OC1=CC(O)=CC=C1,22mg/mL(199.8 mM) in DMSO;22mg/mL(199.8 mM) in H2O;22mg/mL(199.8 mM) in Ethanol,,Microbiology & Virology,Anti-infection,,https://www.apexbt.com/search.php?catalog=C6136
C6137,DL-Serine,302-84-1,A02,L1021-22,105.09,H2O,C3H7NO3,NC(CO)C(O)=O,insoluble in DMSO; insoluble in EtOH; ≥37.6 mg/mL in H2O,,Metabolism,PKM,,https://www.apexbt.com/search.php?catalog=C6137
C6142,Sodium dodecyl sulfate,151-21-3,A03,L1021-22,288.38,H2O,C12H25NaO4S,O=S([O-])(OCCCCCCCCCCCC)=O.[Na+],insoluble in EtOH; ≥47.8 mg/mL in H2O; ≥6.26 mg/mL in DMSO with ultrasonic,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6142
C6149,Thymol,89-83-8,A04,L1021-22,150.22,DMSO,C10H14O,CC1=CC=C(C(C)C)C(O)=C1,insoluble in H2O; ≥52.3 mg/mL in EtOH; ≥55.8 mg/mL in DMSO,,Immunology/Inflammation,,,https://www.apexbt.com/search.php?catalog=C6149
C6160,2-Naphthol,135-19-3,A05,L1021-22,144.17,DMSO,C10H8O,OC1=CC=C(C=CC=C2)C2=C1,insoluble in H2O; ≥115 mg/mL in EtOH; ≥93.2 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6160
C6171,Propylparaben,94-13-3,A06,L1021-22,180.2,DMSO,C10H12O3,OC1=CC=C(C(OCCC)=O)C=C1,insoluble in H2O; ≥34.3 mg/mL in DMSO; ≥39 mg/mL in EtOH,,Others,others,,https://www.apexbt.com/search.php?catalog=C6171
C6177,L-Asparagine,70-47-3,A07,L1021-22,132.12,H2O,C4H8N2O3,NC(C[C@H](N)C(O)=O)=O,insoluble in EtOH; insoluble in DMSO; ≥25.6 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6177
C6178,Butylparaben,94-26-8,A08,L1021-22,194.23,DMSO,C11H14O3,OC1=CC=C(C(OCCCC)=O)C=C1,insoluble in H2O; ≥116.2 mg/mL in DMSO; ≥47.2 mg/mL in EtOH,,Microbiology & Virology,Anti-infection,,https://www.apexbt.com/search.php?catalog=C6178
C6180,Benzyl benzoate,120-51-4,A09,L1021-22,212.24,DMSO,C14H12O2,O=C(C1=CC=CC=C1)OCC2=CC=CC=C2,insoluble in H2O; ≥108.2 mg/mL in EtOH; ≥123.4 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6180
C6183,Piperazine,110-85-0,A10,L1021-22,86.14,H2O,C4H10N2,C1NCCNC1,17mg/mL(197.35 mM) in H2O;17mg/mL(197.35 mM) in Ethanol;8mg/mLwarmed(92.87 mM) in DMSO,,Neuroscience,GABA Receptor,,https://www.apexbt.com/search.php?catalog=C6183
C6187,4-Aminosalicylic acid,65-49-6,A11,L1021-22,153.14,DMSO,C7H7NO3,NC1=CC(O)=C(C(O)=O)C=C1,insoluble in H2O; ≥18.75 mg/mL in EtOH; ≥34.5 mg/mL in DMSO,,Microbiology & Virology,Anti-infection,,https://www.apexbt.com/search.php?catalog=C6187
C6190,Methyl salicylate,119-36-8,B01,L1021-22,152.15,DMSO,C8H8O3,OC1=C(C(OC)=O)C=CC=C1,insoluble in H2O; ≥40.3 mg/mL in DMSO; ≥45 mg/mL in EtOH,,Membrane Transporter/Ion Channel,TRPV,,https://www.apexbt.com/search.php?catalog=C6190
C6192,L-Menthol,2216-51-5,B02,L1021-22,156.27,DMSO,C10H20O,C[C@H]1C[C@@H](O)[C@H](C(C)C)CC1,≥2.05 mg/mL in H2O; ≥27.5 mg/mL in EtOH; ≥35.7 mg/mL in DMSO,,Endocrinology and Hormones,Opioid Receptor,,https://www.apexbt.com/search.php?catalog=C6192
C6199,Salicylamide,65-45-2,B03,L1021-22,137.14,DMSO,C7H7NO2,O=C(N)C1=C(O)C=CC=C1,insoluble in H2O; ≥21.4 mg/mL in EtOH; ≥36.4 mg/mL in DMSO,,Immunology/Inflammation,Immunology & Inflamm,,https://www.apexbt.com/search.php?catalog=C6199
C6203,Malic acid,6915-15-7,B04,L1021-22,134.09,DMSO,C4H6O5,OC(C(O)=O)CC(O)=O,≥21.05 mg/mL in H2O; ≥24 mg/mL in EtOH; ≥47 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6203
C6206,delta-Gluconolactone,90-80-2,B05,L1021-22,178.14,DMSO,C6H10O6,O[C@@H]1[C@@H](O)C(O[C@H](CO)[C@H]1O)=O,insoluble in EtOH; ≥39.5 mg/mL in H2O; ≥48.6 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6206
C6207,o-Toluic acid,118-90-1,B06,L1021-22,136.15,DMSO,C8H8O2,CC1=C(C(O)=O)C=CC=C1,insoluble in H2O; ≥31.6 mg/mL in DMSO; ≥38 mg/mL in EtOH,free base,Others,Others,,https://www.apexbt.com/search.php?catalog=C6207
C6210,3-Hydroxy-2-methyl-4H-pyran-4-one,118-71-8,B07,L1021-22,126.11,DMSO,C6H6O3,CC(OC=C1)=C(O)C1=O,≥15.87 mg/mL in EtOH; ≥49.9 mg/mL in DMSO; ≥7.4 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6210
C6215,Levulinic acid,123-76-2,B08,L1021-22,116.12,H2O,C5H8O3,OC(CCC(C)=O)=O,≥39.6 mg/mL in H2O; ≥61.2 mg/mL in DMSO; ≥74.4 mg/mL in EtOH,free base,Others,Others,,https://www.apexbt.com/search.php?catalog=C6215
C6223,4-Nitrophenol,100-02-7,B09,L1021-22,139.11,DMSO,C6H5NO3,OC1=CC=C([N+]([O-])=O)C=C1,28mg/mL(201.27 mM) in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6223
C6224,"1,4-Benzoquinone",106-51-4,B10,L1021-22,108.09,DMSO,C6H4O2,O=C(C=C1)C=CC1=O,21mg/mL(194.28 mM) in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6224
C6225,Melamine,108-78-1,B11,L1021-22,126.12,DMSO,C3H6N6,NC1=NC(N)=NC(N)=N1,insoluble in EtOH; ≥2.59 mg/mL in H2O with ultrasonic; ≥27.7 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6225
C6234,Dexpanthenol,81-13-0,C01,L1021-22,205.25,DMSO,C9H19NO4,CC(C)(CO)[C@@H](O)C(NCCCO)=O,≥101.6 mg/mL in DMSO; ≥111.2 mg/mL in EtOH; ≥97.4 mg/mL in H2O,,Metabolism,Vitamin,,https://www.apexbt.com/search.php?catalog=C6234
C6244,Carvacrol,499-75-2,C02,L1021-22,150.22,DMSO,C10H14O,CC1=CC=C(C(C)C)C=C1O,insoluble in H2O; ≥28.1 mg/mL in EtOH; ≥28.8 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6244
C6249,Sitagliptin,486460-32-6,C03,L1021-22,407.32,DMSO,C16H15F6N5O,N[C@@H](CC(N1CC2=NN=C(C(F)(F)F)N2CC1)=O)CC3=CC(F)=C(F)C=C3F,insoluble in H2O; ≥52.3 mg/mL in EtOH; ≥54.5 mg/mL in DMSO,,Proteases,DPP-4,,https://www.apexbt.com/search.php?catalog=C6249
C6258,o-Cresol,95-48-7,C04,L1021-22,108.14,DMSO,C7H8O,CC1=C(O)C=CC=C1,,#N/A,Others,Others,,https://www.apexbt.com/search.php?catalog=C6258
C6265,Propofol,2078-54-8,C05,L1021-22,178.27,DMSO,C12H18O,OC1=C(C(C)C)C=CC=C1C(C)C,≥27.2 mg/mL in DMSO; ≥45.4 mg/mL in EtOH; ≥48.9 mg/mL in H2O,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6265
C6269,Acetamide,60-35-5,C06,L1021-22,59.07,DMSO,C2H5NO,CC(N)=O,≥38.6 mg/mL in DMSO; ≥51.4 mg/mL in EtOH; ≥52.6 mg/mL in H2O,free base,Others,Others,Acetamide is an organic compound that can be used as a plasticizer and an industrial solvent.,https://www.apexbt.com/search.php?catalog=C6269
C6271,Pyrocatechol,120-80-9,C07,L1021-22,110.11,DMSO,C6H6O2,OC1=C(O)C=CC=C1,22mg/mL(199.8 mM) in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6271
C6276,Ethyl gallate,831-61-8,C08,L1021-22,198.17,DMSO,C9H10O5,OC1=C(O)C=C(C(OCC)=O)C=C1O,≥16.9 mg/mL in H2O; ≥29.4 mg/mL in EtOH; ≥31.9 mg/mL in DMSO,,Immunology/Inflammation,NF-_B,,https://www.apexbt.com/search.php?catalog=C6276
C6278,Glycylglycine,556-50-3,C09,L1021-22,132.12,H2O,C4H8N2O3,O=C(O)CNC(CN)=O,insoluble in EtOH; insoluble in DMSO; ≥52.7 mg/mL in H2O,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6278
C6279,Geraniol,106-24-1,C10,L1021-22,154.25,DMSO,C10H18O,C/C(C)=C/CC/C(C)=C/CO,insoluble in H2O; ≥42.7 mg/mL in DMSO; ≥68 mg/mL in EtOH,free base,Others,Others,,https://www.apexbt.com/search.php?catalog=C6279
C6281,Tryptamine,61-54-1,C11,L1021-22,160.22,DMSO,C10H12N2,NCCC1=CNC2=CC=CC=C12,insoluble in H2O; ≥28.1 mg/mL in EtOH; ≥31.4 mg/mL in DMSO,,GPCR/G Protein,TAAR,Tryptamine is a monoamine alkaloid and may play a role as a neuromodulator or neurotransmitter. It is an agonist of hTAAR1. It acts as a non-selective serotonin receptor agonist and serotonin-norepinephrine-dopamine releasing agent (SNDRA).,https://www.apexbt.com/search.php?catalog=C6281
C6285,Bisphenol A,80-05-7,D01,L1021-22,228.29,DMSO,C15H16O2,OC1=CC=C(C(C)(C)C2=CC=C(O)C=C2)C=C1,insoluble in H2O; ≥14.33 mg/mL in DMSO; ≥21 mg/mL in EtOH,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6285
C6293,Furfural,98-01-1,D02,L1021-22,96.08,DMSO,C5H4O2,O=CC1=CC=CO1,,#N/A,Others,Others,,https://www.apexbt.com/search.php?catalog=C6293
C6298,Terephthalic acid,100-21-0,D03,L1021-22,166.13,DMSO,C8H6O4,OC(C1=CC=C(C(O)=O)C=C1)=O,insoluble in EtOH; insoluble in H2O; ≥34.25 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6298
C6305,Furazolidone,67-45-8,D04,L1021-22,225.16,DMSO,C8H7N3O5,O=[N+]([O-])C1=CC=C(/C=N/N2CCOC2=O)O1,insoluble in H2O; insoluble in EtOH; ≥10.6 mg/mL in DMSO,,Microbiology & Virology,Anti-infection,,https://www.apexbt.com/search.php?catalog=C6305
C6308,Phthalic acid,88-99-3,D05,L1021-22,166.13,DMSO,C8H6O4,OC(C1=CC=CC=C1C(O)=O)=O,insoluble in H2O; ≥28 mg/mL in EtOH; ≥63.6 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6308
C6313,m-Cresol,108-39-4,D06,L1021-22,108.14,DMSO,C7H8O,CC1=CC=CC(O)=C1,,#N/A,Others,Others,,https://www.apexbt.com/search.php?catalog=C6313
C6315,Isosorbide 5-mononitrate,16051-77-7,D07,L1021-22,191.14,DMSO,C6H9NO6,O[C@H]1CO[C@@]2([H])[C@]1([H])OC[C@H]2O[N+]([O-])=O,≥47.1 mg/mL in EtOH; ≥48.2 mg/mL in H2O; ≥56.3 mg/mL in DMSO,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6315
C6320,p-Cresol,106-44-5,D08,L1021-22,108.14,H2O,C7H8O,OC1=CC=C(C)C=C1,,#N/A,Others,Others,,https://www.apexbt.com/search.php?catalog=C6320
C6322,D-Glutamine,5959-95-5,D09,L1021-22,146.14,H2O,C5H10N2O3,NC(CC[C@@H](N)C(O)=O)=O,insoluble in EtOH; insoluble in DMSO; ≥18.27 mg/mL in H2O,,Neuroscience,GluR,,https://www.apexbt.com/search.php?catalog=C6322
C6326,"(R)-(+)-1,2-Dithiolane-3-pentanoic acid",1200-22-2,D10,L1021-22,206.33,DMSO,C8H14O2S2,OC(CCCC[C@@H]1CCSS1)=O,insoluble in H2O; ≥46.3 mg/mL in DMSO; ≥52.6 mg/mL in EtOH,,Others,Others,,https://www.apexbt.com/search.php?catalog=C6326
C6328,DL-_-Tocopherol,10191-41-0,D11,L1021-22,430.71,DMSO,C29H50O2,OC1=C(C)C(C)=C(O[C@@](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)(C)CC2)C2=C1C,insoluble in H2O; ≥12.93 mg/mL in DMSO; ≥42.7 mg/mL in EtOH,,Metabolism,Vitamin,,https://www.apexbt.com/search.php?catalog=C6328
C6358,Fluorescein,2321-07-5,E01,L1021-22,332.31,DMSO,C20H12O5,OC1=CC(OC(C2=C3C4=C(C=CC=C4)C(O)=O)=CC(C=C2)=O)=C3C=C1,insoluble in H2O; ≥45.3 mg/mL in EtOH; ≥49 mg/mL in DMSO,,Others,Fluorescent Dyes/Probes,Fluorescein is a synthetic fluorescent tracer,https://www.apexbt.com/search.php?catalog=C6358
C6367,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",960404-48-2,E02,L1021-22,502.98,DMSO,C24H35ClO9,O[[C@H]1[[C@H](C2=CC(CC3=CC=C(OCC)C=C3)=C(Cl)C=C2)O[[C@H](CO)[[C@@H](O)[[C@@H]1O.C[[C@H](O)CO.O,insoluble in H2O; ≥27.4 mg/mL in EtOH; ≥69.7 mg/mL in DMSO,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6367
C6368,Delamanid,681492-22-8,E03,L1021-22,534.48,DMSO,C25H25F3N4O6,FC(F)(F)OC1=CC=C(OC2CCN(C3=CC=C(OC[[C@H@]4(C)CN5C(O4)=NC([N+]([O-])=O)=C5)C=C3)CC2)C=C1,insoluble in H2O; insoluble in EtOH; ≥24.9 mg/mL in DMSO,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6368
C6369,Tucidinostat,1616493-44-7,E04,L1021-22,390.41,DMSO,C22H19FN4O2,O=C(NCC1=CC=C(C(NC2=C(C=C(F)C=C2)N)=O)C=C1)/C=C/C3=CN=CC=C3,insoluble in H2O; insoluble in EtOH; ≥33.2 mg/mL in DMSO,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6369
C6371,Calcium dobesilate,20123-80-2,E05,L1021-22,418.41,DMSO,C12H10CaO10S2,OC1=CC=C(O)C(S([O-])(=O)=O)=C1.OC2=CC=C(O)C(S([O-])(=O)=O)=C2.[Ca+2],≥23.05 mg/mL in EtOH with gentle warming and ultrasonic; ≥45.5 mg/mL in DMSO; ≥50.3 mg/mL in H2O,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6371
C6373,Dantrolene (sodium hemiheptahydrate),24868-20-0,E06,L1021-22,399.29,DMSO,C14H16N4NaO8.5,O=C1N([Na])C(CN1/N=C/C2=CC=C(O2)C3=CC=C([N+]([O-])=O)C=C3)=O,insoluble in EtOH; insoluble in H2O; ≥7.21 mg/mL in DMSO with ultrasonic,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6373
C6376,Adenosine 5'-monophosphate monohydrate,18422-05-4,E07,L1021-22,365.24,DMSO,C10H16N5O8P,NC1=NC=NC2=C1N=CN2[[C@@H]3O[[C@H](COP(O)(O)=O)[[C@@H](O)[[C@H]3O.O,insoluble in H2O; insoluble in EtOH; ≥6.28 mg/mL in DMSO with ultrasonic,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6376
C6377,Vidarabine monohydrate,24356-66-9,E08,L1021-22,285.26,DMSO,C10H15N5O5,NC1=NC=NC2=C1N=CN2[[C@@H]3O[[C@H](CO)[[C@@H](O)[[C@@H]3O.O,insoluble in H2O; insoluble in EtOH; ≥49.4 mg/mL in DMSO,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6377
C6378,Pikamilone,34562-97-5,E09,L1021-22,208.21,DMSO,C10H12N2O3,O=C(O)CCCNC(C1=CN=CC=C1)=O,insoluble in EtOH; insoluble in H2O; ≥19.6 mg/mL in DMSO,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6378
C6381,"UTP, Trisodium Salt",19817-92-6,E10,L1021-22,550.09,H2O,C9H12N2Na3O15P3,O=C1C=CN([[C@@H]2O[[C@H](COP(OP(OP([O-])(O)=O)([O-])=O)([O-])=O)[[C@@H](O)[[C@H]2O)C(N1)=O.[Na+].[Na+].[Na+],insoluble in EtOH; insoluble in DMSO; ≥101.2 mg/mL in H2O,#N/A,,,,https://www.apexbt.com/search.php?catalog=C6381
